Final annotation,Text,English Translation
Derogation,মেয়েটার গলা শুনলে পাখিরাও গাছ থেকে উড়ে পালায়,Loading...
Non Misogynistic,এমন দ্বীনদার মেয়ে যদি বউ হিসেবে পেতাম,Loading...
Stereotype,"সবাই জানে, মেয়েদেরকে যুক্তি দিয়ে কথা বললে পার্সোনালি নিয়ে নেয়, এটা মানতেই হবে।",Loading...
Stereotype,"মেয়েরা তর্কে জিততে না পারলে কান্না শুরু করে, এটাই তাদের অস্ত্র",Loading...
Derogation,এই মহিলার শিক্ষাগত যোগ্যতা তার দাবির সাথে মেলে না,Loading...
Derogation,তোর মতো ড্রেনেজ মেয়ের সাথে থাকতে পারি না।,Loading...
Stereotype,মেয়েদের বিয়ে না হলে পরিবারের মানসম্মান ক্ষতিগ্রস্ত হয়,Loading...
Stereotype,মেয়েরা বয়স্ক দেখতে লাগলে নিজেই মন খারাপ করে,Loading...
Sexual Harassment,ভাইরাল হওয়ার জন্য রেপ হইছে,Loading...
Sexual Harassment,"শোনো আপু, গণচোদন খাওয়ার জন্য রেডি থেকো",Loading...
Sexual Harassment,সুন্দরীর বুকের ওজনে জামাটা ফেটে কখন বের হয় সেই অপেক্ষায় আছি,Loading...
Derogation,এই মেয়ের আলসেমি দেখে মনে হয় সোফা ছাড়া উঠতে ইচ্ছা করে না,Loading...
Stereotype,মেয়েরা বড় সিদ্ধান্ত আবেগ দিয়ে নেয় বলেই ভূল হয়,Loading...
Derogation,এমন সুগার ড্যাডি থাকে বাইরের দেশ থেকেও গিফট আসে,Loading...
Stereotype,মেয়েরা ফ্যাশন নিয়ে একটু বেশিই মাথা ঘামায়,Loading...
Derogation,এই মহিলার ইনস্টাগ্রামে যা দেখায় বাস্তবে তার ছায়াও নেই,Loading...
Non Misogynistic,মেয়েটার কাজের প্রতি প্রেম তাকে সর্বোচ্চ ফলাফল অর্জনে সাহায্য করে।,Loading...
Stereotype,মেয়েদের দিয়ে সিরিয়াস সাংবাদিকতা হয় না,Loading...
Stereotype,মেয়েরা সুন্দর হলে পরিশ্রম না করেও সুযোগ পায়,Loading...
Stereotype,"নারীরা প্রায়শই ঘরের কোণায় থাকা মানুষ, তাই বাইরের লড়াই বুঝবে কীভাবে।",Loading...
Stereotype,মেয়েরা ক্লাবে গেলে তাদের সম্পর্কে ভালো ভাবা যায় না,Loading...
Stereotype,এই ধরনের বেয়াদব মেয়েরাই খারাপ পথে যায়,Loading...
Non Misogynistic,"মেয়েটা কারো ছায়ায় থাকে না, নিজেই আলো হয়ে জ্বলে।",Loading...
Non Misogynistic,আপুর সমকালীন গান শ্রোতাদের কাছে জনপ্রিয়,Loading...
Non Misogynistic,মেয়েটার তবলায় তাল অনুসরণ চমৎকার,Loading...
Non Misogynistic,বোনটি নিজের অধিকারের প্রতি সচেতন,Loading...
Sexual Harassment,"এই মডেলের কে তো ৩০০ টাকা দিয়ে ও কেউ কিনবে না, নষ্ট মাল",Loading...
Sexual Harassment,ভিডিও শেষে খেয়ে দিয়েন না আবার আপুটাকে,Loading...
Derogation,মেয়েটা এত রোগা যে পাশ থেকে দেখা যায় না।,Loading...
Sexual Harassment,"এই মাগি, বাড়ি কেনার টাকা পাঠাচ্ছি, এক রাতের ডিল কনফার্ম?",Loading...
Non Misogynistic,মহিলা শিল্পীর সৃষ্টিকর্ম আগামী প্রজন্মের কাছে সংস্কৃতির ধারা বহন করবে।,Loading...
Derogation,দুই টাকার সস্তা যাত্রাপালার নর্তকীদের মতো লাগছে,Loading...
